datetime, temperature, moisture
Mon May 30 2016 14:30:48,28, 0
Mon May 30 2016 14:30:48,28, 0
Mon May 30 2016 14:30:48,28, 0
Mon May 30 2016 14:30:48,28, 0
Mon May 30 2016 14:30:48,28, 0
Mon May 30 2016 14:30:48,27, 0
Mon May 30 2016 14:30:48,27, 0
Mon May 30 2016 14:30:48,27, 0
Mon May 30 2016 14:30:48,28, 0
Mon May 30 2016 14:30:48,28, 0
Mon May 30 2016 14:30:49,28, 0
Mon May 30 2016 14:30:49,27, 0
Mon May 30 2016 14:30:49,27, 0
Mon May 30 2016 14:30:49,27, 0
Mon May 30 2016 14:30:49,27, 0
Mon May 30 2016 14:30:49,28, 0
Mon May 30 2016 14:30:49,28, 0
Mon May 30 2016 14:30:49,28, 0
Mon May 30 2016 14:30:49,28, 0
Mon May 30 2016 14:30:49,28, 0
Mon May 30 2016 14:30:49,28, 0
Mon May 30 2016 14:30:50,27, 0
Mon May 30 2016 14:30:50,27, 0
Mon May 30 2016 14:30:50,27, 0
Mon May 30 2016 14:30:50,27, 0
Mon May 30 2016 14:30:50,27, 0
Mon May 30 2016 14:30:50,27, 0
Mon May 30 2016 14:30:50,27, 0
Mon May 30 2016 14:30:50,27, 0
Mon May 30 2016 14:30:50,27, 0
Mon May 30 2016 14:30:50,27, 0
Mon May 30 2016 14:30:50,27, 0
Mon May 30 2016 14:30:50,27, 0
Mon May 30 2016 14:30:51,28, 0
Mon May 30 2016 14:30:51,28, 0
Mon May 30 2016 14:30:51,28, 0
Mon May 30 2016 14:30:51,28, 0
Mon May 30 2016 14:30:51,28, 0
Mon May 30 2016 14:30:51,28, 0
Mon May 30 2016 14:30:51,28, 0
Mon May 30 2016 14:30:51,27, 0
Mon May 30 2016 14:30:51,27, 0
Mon May 30 2016 14:30:51,27, 0
Mon May 30 2016 14:30:51,28, 0
Mon May 30 2016 14:30:51,28, 0
Mon May 30 2016 14:30:52,28, 0
Mon May 30 2016 14:30:52,28, 0
Mon May 30 2016 14:30:52,28, 0
Mon May 30 2016 14:30:52,28, 0
Mon May 30 2016 14:30:52,28, 0
Mon May 30 2016 14:30:52,28, 0
Mon May 30 2016 14:30:52,28, 0
Mon May 30 2016 14:30:52,28, 0
Mon May 30 2016 14:30:52,28, 0
Mon May 30 2016 14:30:52,28, 0
Mon May 30 2016 14:30:52,27, 0
Mon May 30 2016 14:30:53,27, 0
Mon May 30 2016 14:30:53,27, 0
Mon May 30 2016 14:30:53,27, 0
Mon May 30 2016 14:30:53,28, 0
Mon May 30 2016 14:30:53,28, 0
Mon May 30 2016 14:30:53,28, 0
Mon May 30 2016 14:30:53,28, 0
Mon May 30 2016 14:30:53,28, 0
Mon May 30 2016 14:30:53,28, 0
Mon May 30 2016 14:30:53,28, 0
Mon May 30 2016 14:30:53,28, 0
Mon May 30 2016 14:30:53,28, 0
Mon May 30 2016 14:30:54,28, 0
Mon May 30 2016 14:30:54,28, 0
Mon May 30 2016 14:30:54,28, 0
Mon May 30 2016 14:30:54,27, 0
Mon May 30 2016 14:31:01,29, 0
Mon May 30 2016 14:31:01,30, 0
Mon May 30 2016 14:31:01,30, 0
Mon May 30 2016 14:31:01,30, 0
Mon May 30 2016 14:31:02,30, 0
Mon May 30 2016 14:31:02,30, 0
Mon May 30 2016 14:31:02,30, 0
Mon May 30 2016 14:31:02,30, 0
Mon May 30 2016 14:31:02,30, 0
Mon May 30 2016 14:31:02,30, 0
Mon May 30 2016 14:31:02,30, 0
Mon May 30 2016 14:31:02,30, 0
Mon May 30 2016 14:31:02,30, 0
Mon May 30 2016 14:31:02,30, 0
Mon May 30 2016 14:31:02,30, 0
Mon May 30 2016 14:31:02,30, 0
Mon May 30 2016 14:31:03,30, 0
Mon May 30 2016 14:31:03,29, 0
Mon May 30 2016 14:31:03,29, 0
Mon May 30 2016 14:31:03,29, 0
Mon May 30 2016 14:31:03,29, 0
Mon May 30 2016 14:31:03,29, 0
Mon May 30 2016 14:31:03,29, 0
Mon May 30 2016 14:31:03,29, 0
Mon May 30 2016 14:31:03,29, 0
Mon May 30 2016 14:31:03,29, 0
Mon May 30 2016 14:31:03,29, 0
Mon May 30 2016 14:31:03,29, 0
Mon May 30 2016 14:31:04,29, 0
Mon May 30 2016 14:31:04,29, 0
Mon May 30 2016 14:31:04,29, 0
Mon May 30 2016 14:31:04,29, 0
